Species,Gene_Function,Count
香蕉 (Musa acuminata - 三倍体),cell division cycle 5-like protein,4
香蕉 (Musa acuminata - 三倍体),Ribosomal biogenesis NSA2 family,4
香蕉 (Musa acuminata - 三倍体),COP9 signalosome complex subunit 2,4
香蕉 (Musa acuminata - 三倍体),Snf7 family,4
香蕉 (Musa acuminata - 三倍体),PIN domain,4
香蕉 (Musa acuminata - 三倍体),DNA-directed RNA polymerase,4
香蕉 (Musa acuminata - 三倍体),PDCD5-like,4
香蕉 (Musa acuminata - 三倍体),DNA polymerase epsilon catalytic subunit,3
香蕉 (Musa acuminata - 三倍体),Asparagine synthase,3
香蕉 (Musa acuminata - 三倍体),Pep3/Vps18/deep orange,3
香蕉 (Musa acuminata - 三倍体),Transcription initiation factor TFIID subunit 2,3
香蕉 (Musa acuminata - 三倍体),Translational activator Gcn1,3
香蕉 (Musa acuminata - 三倍体),Condensin complex subunit 1,3
香蕉 (Musa acuminata - 三倍体),Nrap protein,3
香蕉 (Musa acuminata - 三倍体),Rad50/SbcC-type AAA domain,3
香蕉 (Musa acuminata - 三倍体),Splicing factor 3B subunit 1,3
香蕉 (Musa acuminata - 三倍体),digestive organ expansion factor homolog,3
香蕉 (Musa acuminata - 三倍体),Ribosome control protein 1,3
香蕉 (Musa acuminata - 三倍体),RNA cytidine acetyltransferase,3
香蕉 (Musa acuminata - 三倍体),RuvA domain 2-like,3
香蕉 (Musa acuminata - 三倍体),Tetratricopeptide-like helical domain superfamily,3
香蕉 (Musa acuminata - 三倍体),Nucleolar complex-associated protein 3,3
香蕉 (Musa acuminata - 三倍体),Translation initiation factor eIF-2B subunit epsilon,3
香蕉 (Musa acuminata - 三倍体),DNA polymerase epsilon subunit,3
香蕉 (Musa acuminata - 三倍体),Splicing factor 3A subunit 3,3
香蕉 (Musa acuminata - 三倍体),GMP synthase,3
香蕉 (Musa acuminata - 三倍体),Reduced growth phenotype protein 1,3
香蕉 (Musa acuminata - 三倍体),Eukaryotic translation initiation factor 2A,3
香蕉 (Musa acuminata - 三倍体),Protein arginine methyltransferase NDUFAF7,3
香蕉 (Musa acuminata - 三倍体),DNA polymerase alpha subunit B,3
香蕉 (Musa acuminata - 三倍体),TRAPP III complex,3
香蕉 (Musa acuminata - 三倍体),Ubiquinone biosynthesis monooxygenase COQ6,3
香蕉 (Musa acuminata - 三倍体),Nuclear pore protein 84/107,3
香蕉 (Musa acuminata - 三倍体),Armadillo-type fold,3
香蕉 (Musa acuminata - 三倍体),P-loop containing nucleoside triphosphate hydrolase,3
香蕉 (Musa acuminata - 三倍体),Gamma-tubulin complex component,3
香蕉 (Musa acuminata - 三倍体),Eukaryotic translation initiation factor 3 subunit M,3
香蕉 (Musa acuminata - 三倍体),Conserved oligomeric Golgi complex,3
香蕉 (Musa acuminata - 三倍体),Histone acetyltransferase type B catalytic subunit,3
香蕉 (Musa acuminata - 三倍体),NAD,3
香蕉 (Musa acuminata - 三倍体),ATP12,3
香蕉 (Musa acuminata - 三倍体),60S ribosomal export protein NMD3,3
香蕉 (Musa acuminata - 三倍体),DNA polymerase alpha/delta/epsilon,3
香蕉 (Musa acuminata - 三倍体),Zinc finger C2H2-type,3
香蕉 (Musa acuminata - 三倍体),Dol-P-Man,3
香蕉 (Musa acuminata - 三倍体),tRNA-dihydrouridine synthase,3
香蕉 (Musa acuminata - 三倍体),Mre11,3
香蕉 (Musa acuminata - 三倍体),Protein phosphatase methylesterase 1,3
香蕉 (Musa acuminata - 三倍体),Sec1-like protein,3
香蕉 (Musa acuminata - 三倍体),DNA methyltransferase 1-associated 1,3
香蕉 (Musa acuminata - 三倍体),Surfeit locus 1/Shy1,3
香蕉 (Musa acuminata - 三倍体),tRNA guanosine-2'-O-methyltransferase,3
香蕉 (Musa acuminata - 三倍体),KRR1 small subunit processome component,3
香蕉 (Musa acuminata - 三倍体),TFIIH p62 subunit,3
香蕉 (Musa acuminata - 三倍体),Elongator complex protein 4,3
香蕉 (Musa acuminata - 三倍体),GPI mannosyltransferase 1,3
香蕉 (Musa acuminata - 三倍体),Tetrapyrrole methylase,3
香蕉 (Musa acuminata - 三倍体),Signal recognition particle subunit SRP68,3
香蕉 (Musa acuminata - 三倍体),Mitochondrial import inner membrane translocase subunit TIM44,3
香蕉 (Musa acuminata - 三倍体),Checkpoint protein Hus1/Mec3,3
香蕉 (Musa acuminata - 三倍体),Diphosphomevalonate decarboxylase,3
香蕉 (Musa acuminata - 三倍体),F-actin-capping protein subunit alpha/beta,3
香蕉 (Musa acuminata - 三倍体),Glycosyl transferase,3
香蕉 (Musa acuminata - 三倍体),Lipoyltransferase/lipoate-protein ligase,3
香蕉 (Musa acuminata - 三倍体),Dolichyl-phosphate beta-glucosyltransferase,3
香蕉 (Musa acuminata - 三倍体),Electron transfer flavoprotein,3
香蕉 (Musa acuminata - 三倍体),Co-chaperone Hsc20,3
香蕉 (Musa acuminata - 三倍体),Methyltransferase type 11,3
香蕉 (Musa acuminata - 三倍体),Bystin,3
香蕉 (Musa acuminata - 三倍体),HORMA domain,3
香蕉 (Musa acuminata - 三倍体),Exosome complex component CSL4,3
香蕉 (Musa acuminata - 三倍体),Ribosome maturation protein SBDS,3
香蕉 (Musa acuminata - 三倍体),TFIIH subunit Tfb4/GTF2H3,3
香蕉 (Musa acuminata - 三倍体),Ribosome biogenesis protein,3
香蕉 (Musa acuminata - 三倍体),OPI10 family,3
香蕉 (Musa acuminata - 三倍体),Proteasome subunit beta,3
香蕉 (Musa acuminata - 三倍体),G10 protein,3
香蕉 (Musa acuminata - 三倍体),Vps16,3
香蕉 (Musa acuminata - 三倍体),GPI-anchor transamidase,3
香蕉 (Musa acuminata - 三倍体),Protohaem IX farnesyltransferase,3
香蕉 (Musa acuminata - 三倍体),Ribosomal biogenesis,3
香蕉 (Musa acuminata - 三倍体),RWD domain,3
香蕉 (Musa acuminata - 三倍体),Cytochrome c oxidase assembly protein CtaG/Cox11,3
香蕉 (Musa acuminata - 三倍体),CDC45 family,3
香蕉 (Musa acuminata - 三倍体),Cleavage and polyadenylation specificity factor subunit 2,3
香蕉 (Musa acuminata - 三倍体),U4/U6 small nuclear ribonucleoprotein Prp3,3
香蕉 (Musa acuminata - 三倍体),NADPH,3
香蕉 (Musa acuminata - 三倍体),GPI transamidase subunit PIG-U,3
香蕉 (Musa acuminata - 三倍体),DNA primase,3
香蕉 (Musa acuminata - 三倍体),TAP46-like protein,3
香蕉 (Musa acuminata - 三倍体),rRNA-processing protein Fcf1/Utp23,3
香蕉 (Musa acuminata - 三倍体),Conserved oligomeric Golgi complex subunit 6,3
香蕉 (Musa acuminata - 三倍体),-alpha-acetyltransferase 35,3
香蕉 (Musa acuminata - 三倍体),TIP41-like protein,3
香蕉 (Musa acuminata - 三倍体),NFACT,3
香蕉 (Musa acuminata - 三倍体),CXXC motif containing zinc binding protein,3
香蕉 (Musa acuminata - 三倍体),Origin recognition complex,3
香蕉 (Musa acuminata - 三倍体),26S Proteasome non-ATPase regulatory subunit 9,3
香蕉 (Musa acuminata - 三倍体),SRP-independent targeting protein 2/TMEM208,3
香蕉 (Musa acuminata - 三倍体),RNA 3'-terminal phosphate cyclase domain,3
香蕉 (Musa acuminata - 三倍体),Ubiquinol-cytochrome c chaperone,3
香蕉 (Musa acuminata - 三倍体),RNA polymerase Rpb7-like,3
香蕉 (Musa acuminata - 三倍体),DNA replication complex GINS protein SLD5,3
香蕉 (Musa acuminata - 三倍体),Rad1/Rec1/Rad17,3
香蕉 (Musa acuminata - 三倍体),Deoxyhypusine hydroxylase,3
香蕉 (Musa acuminata - 三倍体),Cytoplasmic tRNA 2-thiolation protein 2,3
香蕉 (Musa acuminata - 三倍体),Cdk-activating kinase assembly factor MAT1,3
香蕉 (Musa acuminata - 三倍体),Prefoldin subunit 4,3
香蕉 (Musa acuminata - 三倍体),Adenylate kinase isoenzyme 6,3
香蕉 (Musa acuminata - 三倍体),Pre-mRNA-splicing factor Isy1,3
香蕉 (Musa acuminata - 三倍体),Ubiquitin-like protein ATG12,3
香蕉 (Musa acuminata - 三倍体),H/ACA ribonucleoprotein complex subunit,3
香蕉 (Musa acuminata - 三倍体),Ribosomal protein L7Ae/L30e/S12e/Gadd45,3
香蕉 (Musa acuminata - 三倍体),NADH:ubiquinone oxidoreductase intermediate-associated protein 30,3
香蕉 (Musa acuminata - 三倍体),Prefoldin,3
香蕉 (Musa acuminata - 三倍体),COX assembly mitochondrial protein,3
